,Artist,Title,Days,T10,Pk,x,PkStreams,Total
0,高爾宣 OSN,Without You,1945,613,1,82,46067,48733367.0
1,WeiBird,如果可以,1000,608,1,275,147343,44275990.0
2,Ren Ran,飞鸟和蝉,1420,757,1,14,49553,42561207.0
3,Bestards,不是因為天氣晴朗才愛你,1733,370,4,,46373,41812610.0
4,Eric Chou,怎麼了,2030,586,2,11,38874,41733043.0
5,831,"想見你想見你想見你(電視劇""想見你""片尾曲)",1642,505,1,128,56311,38417588.0
6,Crowd Lu,刻在我心底的名字 (Your Name Engraved Herein),1300,462,1,177,81244,37980233.0
7,告五人,披星戴月的想你,2036,15,32817,,37032621,
8,EggPlantEgg,愛情你比我想的閣較偉大,1052,620,1,77,118062,34294104.0
9,Ronghao Li,年少有為,2197,204,1,4,29440,33707922.0
10,Fish Leong,慢冷,1904,11,30203,,32660660,
11,EggPlantEgg,浪流連,2042,266,1,25,40765,32418892.0
12,The Kid LAROI,Stay,1119,359,1,105,60798,30849251.0
13,EggPlantEgg,閣愛妳一擺,965,452,2,142,109766,29625731.0
14,Vicky Chen,炙愛,1556,14,9,,36240,27851184.0
15,告五人,好不容易 (《華燈初上》片尾曲),946,445,2,66,61777,27638107.0
16,Yisa Yu,路過人間 (電視劇《我們與惡的距離》插曲),1818,73,4,,30716,26728911.0
17,A,Lin,1763,293,1,18,41914,26569964.0
18,G.E.M.,光年之外 (電影 《Passengers》 中國區主題曲),2718,2,8,,18738,26092449.0
19,The Chainsmokers,Something Just Like This,2483,256,1,112,61114,25861577.0
20,张远,嘉宾,1060,165,5,,40468,25628457.0
21,承桓,我会等,485,353,1,7,69887,25324142.0
22,告五人,在這座城市遺失了你 (戲劇《他們創業的那些鳥事》插曲),1012,491,2,43,56804,25320313.0
23,高爾宣 OSN,Why You Gonna Lie,1793,116,3,9,33025,24663582.0
24,Jung Kook,Seven,385,284,1,162,156778,24323895.0
25,Eric Chou,"你,好不好?",2767,5,7,,14455,24180613.0
26,LaLa Hsu,真的傻 (電影《一吻定情》追愛版主題曲),1443,64,6,,29425,23764975.0
27,小阿七,从前说,908,111,4,,43788,23320195.0
28,Lewis Capaldi,Someone You Loved,1800,14,23905,,22775177,
29,Power Station,我很好騙,1054,189,5,,36553,22741959.0
30,告五人,愛人錯過,1452,12,32306,,22712795,
31,Jay Chou,晴天,1754,15,37580,,22560534,
32,颜人中,有些,1127,16,35875,,22520530,
33,EggPlantEgg,浪子回頭,1910,149,1,1,26350,21959415.0
34,陳華,想和你看五月的晚霞,648,279,3,60,58273,21824519.0
35,Bestards,我就想你,980,3,8,,40325,21129545.0
36,Tanya Chua,紅色高跟鞋,1762,41,21641,,20853506,
37,Jay Chou,說好不哭,1030,216,1,29,91126,20746066.0
38,高爾宣 OSN,最後一次,1543,6,8,,27638,20561095.0
39,阿冗,你的答案,1621,15,23745,,20420786,
40,sodagreen,小情歌,1978,25,24918,,20356163,
41,Crowd Lu,幾分之幾,1880,40,1,2,25103,19906220.0
42,棉子,勇气,1420,16,23439,,19698409,
43,NewJeans,OMG,578,158,1,21,81603,19410028.0
44,V,Love Me Again,357,255,1,28,134591,19150764.0
45,Shawn Mendes,Señorita,1115,241,1,88,62699,19015083.0
46,Jay Chou,擱淺,1067,23,37593,,18870963,
47,Eason Chan,孤勇者,830,158,4,,43641,18763237.0
48,TRASH,終究還是因為愛,995,11,30849,,18633036,
49,瘦子E.SO,CHANGE,869,186,1,8,48809,18622745.0
50,Kelly Yu,體面(電影《前任3:再見前任》插曲),1502,168,1,13,26443,18455511.0
51,告五人,唯一 (三立/台視戲劇《戀愛是科學》插曲),1039,14,28861,,18360086,
52,Justin Bieber,Ghost,1032,12,28044,,18317074,
53,Eric Chou,以後別做朋友,3007,7,3,1,12679,18106715.0
54,Kenshi Yonezu,Lemon,2021,15,18598,,18041308,
55,Eric Chou,如果雨之後,2000,4,2,1,19039,17972865.0
56,NewJeans,Hype Boy,732,89,5,,45270,17923729.0
57,Xiao Bing Chih,毒藥,832,51,7,,43825,17921596.0
58,Maroon 5,Memories,1277,115,1,42,41050,17846159.0
59,NewJeans,Ditto,592,121,1,48,96612,17761176.0
60,Eason Chan,讓我留在你身邊,2091,4,5,,19040,17628176.0
61,詹雯婷,訣愛 (劇集《蒼蘭訣》片頭曲),684,86,2,1,39235,17488702.0
62,(G)I,DLE,445,180,1,53,75378,17480439.0
63,Joker Xue,演員,2024,63,4,,21243,17463237.0
64,En,嚣张,1113,12,8,,27335,17212223.0
65,Cyndi Wang,當你,1571,27,28103,,16832993,
66,Karen Mok,慢慢喜歡你,1522,39,3,2,22565,16658920.0
67,卢卢快闭嘴,字字句句,436,172,4,,54010,16593135.0
68,G.E.M.,很久以後,1335,18,24828,,16409537,
69,瘦子E.SO,她沒在看我,767,167,1,14,49500,16122186.0
70,space x,0321,957,11,35328,,15983819,
71,Eric Chou,最後一堂課,620,34,2,4,42363,15920649.0
72,Ed Sheeran,Shape of You,1501,262,1,48,39734,15641751.0
73,Jia Jia,家家酒,2162,2,9,,17222,15488757.0
74,Tanya Chua,Letting Go,776,14,29570,,15383300,
75,LBI利比,小城夏天,738,16,29493,,15375660,
76,Stefanie Sun,遇見,1432,42,23128,,15313175,
77,G.E.M.,倒數,1152,62,1,3,26190,15140595.0
78,YOASOBI,夜に駆ける,1299,38,24775,,15063362,
79,Ronghao Li,烏梅子醬,455,193,1,29,79601,14877813.0
80,Mayday,後來的我們,2031,33,1,2,19893,14846822.0
81,Taylor Swift,Cruel Summer,461,54,2,8,63351,14776518.0
82,Pika Chiu,太陽,1026,132,2,1,35631,14770000.0
83,G.E.M.,句號,813,91,2,42,37420,14652510.0
84,Anne,Marie,1586,59,3,2,20905,14543064.0
85,NewJeans,Super Shy,392,96,1,5,105003,14525804.0
86,吳青峰,起风了,1597,31,16433,,14395720,
87,Eric Chou,你不屬於我,675,53,2,14,41465,14368131.0
88,Justin Bieber,Peaches,748,182,1,8,54585,14362750.0
89,Shi Shi,眼淚記得你,457,102,2,4,61139,14348476.0
90,A,Mei Chang,1596,56,1,7,22593,14337354.0
91,IVE,I AM,480,93,2,19,73429,14151409.0
92,艾薇,失重前幸福,839,12,27983,,14147691,
93,A,Lin,783,11,4,,31774,14085817.0
94,YOASOBI,アイドル,478,114,2,1,62271,13959739.0
95,JJ Lin,那些你很冒險的夢,1944,49,14905,,13863465,
96,Ed Sheeran,Shivers,711,99,3,1,38005,13815334.0
97,BLACKPINK,Pink Venom,516,101,1,30,105259,13750018.0
98,(G)I,DLE,870,35,3,3,44342,13704522.0
99,Bestards,離開的一路上,273,188,1,6,83188,13696607.0
100,Charlie Puth,Left and Right (Feat. Jung Kook of BTS),660,24,1,3,63884,13551249.0
101,BTS,Dynamite,790,172,1,7,60928,13448232.0
102,W.M.L,I'm Alive,698,11,31177,,13312570,
103,Hebe Tien,無人知曉,832,18,2,1,51242,13134288.0
104,The Chainsmokers,Closer,1386,212,1,148,28289,12978322.0
105,Rainie Yang,年輪說,1805,2,8,,14839,12935247.0
106,LE SSERAFIM,Perfect Night,280,168,1,10,68329,12901474.0
107,IVE,LOVE DIVE,750,34,5,,37676,12891135.0
108,JJ Lin,不為誰而作的歌,1637,169,1,24,24062,12880333.0
109,李浩瑋 Howard Lee,Crush On,1146,40,22751,,12863706,
110,Rachel Liang,那女孩對我說,867,22,24260,,12810002,
111,Jay Chou,說好不哭,750,6,3,1,65709,12743921.0
112,OneRepublic,I Ain't Worried,678,44,3,3,36488,12695937.0
113,告五人,一念之間,535,11,38913,,12566918,
114,政学Zed,X,456,11,9,,44773,12488639.0
115,Nicky Lee,想太多,663,19,30824,,12399876,
116,Lady Gaga,Shallow,1078,163,1,61,59619,12319097.0
117,ILLIT,Magnetic,130,129,1,57,177470,12308066.0
118,en,间距,639,15,27409,,12275121,
119,YOASOBI,群青,1185,51,24370,,12137064,
120,瘦子E.SO,太陽,704,106,3,2,40357,11962642.0
121,Eason Chan,十年,1514,52,19815,,11933513,
122,Ed Sheeran,Bad Habits,651,124,1,3,38274,11932075.0
123,JISOO,FLOWER,374,113,1,45,110320,11811422.0
124,Jolin Tsai,玫瑰少年,1038,12,2,2,30740,11636925.0
125,Shirley Chen,绿色,769,43,4,,29097,11589814.0
126,ØZI,B.O.,1253,7,6,,21969,11553031.0
127,Eric Chou,想知道你在想什麼,516,65,2,1,49441,11492088.0
128,Yoga Lin,兜圈 (偶像劇「必娶女人」片尾曲),1061,15,23793,,11489377,
129,LaLa Hsu,你敢不敢,1267,60,11920,,11474620,
130,LE SSERAFIM,ANTIFRAGILE,602,21,5,,37354,11421294.0
131,Capper,雪 Distance,502,23,7,,42273,11285935.0
132,BLACKPINK,How You Like That,720,71,1,21,72487,11074596.0
133,梦然,少年,800,18,23975,,10991465,
134,BLACKPINK,Shut Down,476,45,1,13,72081,10791391.0
135,Jay Chou,告白氣球,1400,53,17500,,10682064,
136,G.E.M.,泡沫,2242,12,15889,,10665534,
137,Tiger Hu,你要的全拿走,885,1,9,,24324,10603585.0
138,高爾宣 OSN,Somebody Else,584,23,29125,,10534233,
139,Jay Chou,珊瑚海,987,74,17956,,10450277,
140,Eric Chou,永不失聯的愛,1061,78,14519,,10381051,
141,Ren Ran,后继者,926,62,20892,,10373176,
142,Yo Lee,誰,1336,1,10,,21326,10280368.0
143,Tones And I,Dance Monkey,584,151,2,6,33142,10245630.0
144,Adele,Easy On Me,625,58,1,17,105469,10237544.0
145,Harry Styles,As It Was,679,10,7,,33562,10184680.0
146,Patrick Brasca,3am,280,72,4,,59260,10048927.0
147,Jam Hsiao,讓我為你唱情歌,1104,13,17373,,10046644,
148,IVE,After LIKE,533,44,2,3,54283,10031151.0
149,Justin Bieber,Love Yourself,1326,157,1,32,21052,10022883.0
150,音阙诗听,芒种,838,32,18304,,9965468,
151,G.E.M.,多遠都要在一起,843,12,19157,,9939896,
152,Billie Eilish,bad guy,564,132,1,4,35008,9813466.0
153,Tate McRae,greedy,317,3,9,,44122,9809368.0
154,G.E.M.,來自天堂的魔鬼,954,19,18371,,9789603,
155,aespa,Drama,265,47,4,,53060,9781968.0
156,NICKTHEREAL,愛上你算我賤,458,36,5,,40129,9776316.0
157,Shirley Chen,你的酒馆对我打了烊,703,11,9,,25872,9679722.0
158,隊長,哪里都是你,782,46,16781,,9656306,
159,高爾宣 OSN,So Bad,687,31,3,2,37587,9538237.0
160,Waa Wei,你啊你啊,1392,9,2,1,17626,9467774.0
161,Ren Ran,无人之岛,867,18,26186,,9366827,
162,阿冗,與我無關,687,26,22317,,9264194,
163,Taylor Swift,Anti,522,40,1,10,51779,9230024.0
164,Dua Lipa,Don't Start Now,590,100,3,4,34767,9204623.0
165,Patrick Brasca,I Hate Myself Sometimes,219,67,1,27,72905,9146506.0
166,瘦子E.SO,Something I Don't Need,709,17,23954,,9092637,
167,Dan + Shay,"10,000 Hours",939,34,5,,33000,9072950.0
168,Alan Walker,Faded,1339,165,1,46,18234,9040902.0
169,Eve Ai,Forever Young,919,6,3,1,22499,8910928.0
170,Firdhaus,在加納共和國離婚,202,106,1,3,90811,8905928.0
171,卓義峯,再見煙火,936,56,15867,,8876868,
172,BTS,Boy With Luv,756,56,1,24,60539,8856273.0
173,V,Slow Dancing,271,65,4,,64281,8839036.0
174,en,嚣张,547,49,22957,,8819606,
175,Yoyo Sham,追光者,877,15,5,,17732,8756746.0
176,Jay Chou,七里香,741,58,19061,,8677642,
177,Good Band,他們說我是沒有用的年輕人,576,1,9,,30995,8672945.0
178,SHAUN,Way Back Home,918,1,10,,20845,8672349.0
179,LE SSERAFIM,EASY,165,81,1,29,101936,8669424.0
180,Crowd Lu,魚仔,834,109,1,39,40850,8667737.0
181,Bestards,行星,878,83,17832,,8661406,
182,Nine Chen,天黑請閉眼 feat. 邱鋒澤,340,81,5,,30324,8598118.0
183,Marshmello,Be Kind,542,36,5,,35103,8592971.0
184,老王樂隊,我還年輕 我還年輕,1163,14,17908,,8564913,
185,Ed Sheeran,Beautiful People,526,118,2,48,45587,8560723.0
186,Jolin Tsai,親愛的對象,375,52,2,2,51268,8512932.0
187,Ed Sheeran,Photograph,1551,81,1,5,24108,8504283.0
188,elijah woods,"24/7, 365",336,19,33329,,8425655,
189,JJ Lin,可惜沒如果,1606,45,1,14,14403,8392992.0
190,Ed Sheeran,Perfect,1276,58,2,2,25819,8381356.0
191,Coldplay,My Universe,562,35,2,9,44515,8293601.0
192,JC 陳詠桐,說散就散,1177,13,14942,,8268354,
193,J.Sheon,輸情歌,609,3,7,,25014,8106692.0
194,Chih Siou,正想著你呢,498,67,2,3,48677,8097880.0
195,九澤CP,天黑請閉眼,793,15,27610,,8067329,
196,Yoga Lin,別讓我走遠 (電視劇《我們與惡的距離》主題曲),561,42,2,5,36523,8049241.0
197,Eric Chou,愛我的時候,626,5,9,,29308,7952004.0
198,LE SSERAFIM,UNFORGIVEN,399,23,2,1,55312,7904493.0
199,Jung Kook,3D,303,52,2,1,63157,7877328.0
200,NewJeans,Attention,506,11,29478,,7871664,
201,Sabrina Carpenter,Nonsense,565,53,22508,,7852505,
202,Nicky Lee,圍牆,477,49,24495,,7847889,
203,IU,eight(Prod.&Feat. SUGA of BTS),558,36,1,15,83729,7801755.0
204,JENNIE,You & Me,254,47,1,4,116471,7777261.0
205,Post Malone,Circles,437,88,2,13,37883,7767481.0
206,The Weeknd,Blinding Lights,603,15,23131,,7731280,
207,Charlie Puth,We Don't Talk Anymore,1096,114,2,12,21900,7644426.0
208,大籽,白月光与朱砂痣,519,11,25365,,7577631,
209,高爾宣 OSN,Without You,600,23,20543,,7564692,
210,Vicky Chen,煙幕,834,52,14052,,7462688,
211,程響,四季予你,480,5,10,,30189,7448425.0
212,Namewee,飄向北方,852,39,3,1,21682,7424278.0
213,Miley Cyrus,Flowers,372,8,7,,37717,7327948.0
214,LaLa Hsu,失落沙洲,1446,36,10622,,7267024,
215,Dua Lipa,Levitating,531,18,23450,,7253757,
216,井朧,不刪,613,51,16826,,7135501,
217,Post Malone,Sunflower,620,34,4,,38870,7125806.0
218,V,FRI(END)S,140,68,2,10,77727,7091956.0
219,Hebe Tien,懸日,629,11,23376,,7022743,
220,G.E.M.,差不多姑娘,616,16,24052,,7020715,
221,icyball,能不能和我留在台北(陪我幾天),456,29,26592,,7014569,
222,回春丹,鲜花,156,110,2,2,58576,6935028.0
223,Shi Shi,Someday or One day,522,16,23401,,6898596,
224,Pink Sweat$,At My Worst,796,76,11756,,6889132,
225,陈壹千,仗着,339,20,31530,,6874657,
226,BABYMONSTER,SHEESH,123,76,2,3,82284,6812613.0
227,Lauv,I Like Me Better,986,18,22330,,6796068,
228,Amazing Show,擋一根,812,50,15246,,6775317,
229,Jay Chou,一路向北,747,67,15858,,6734727,
230,Sophie Chen,500天,403,3,10,,31005,6717496.0
231,Ed Sheeran,I Don't Care,446,82,1,36,47866,6702569.0
232,JOYCE 就以斯,都是weather你,158,51,2,4,72037,6657221.0
233,王ADEN,想了妳6次,519,28,22051,,6589299,
234,許光漢,別再想見我,481,1,10,,32428,6584073.0
235,BLACKPINK,Lovesick Girls,426,36,2,5,59960,6574452.0
236,IU,Celebrity,469,47,1,2,65175,6559506.0
237,Nine Chen,天黑請閉眼,313,6,9,,28989,6539802.0
238,LiSA,炎,376,82,2,17,51325,6522985.0
239,NewJeans,ETA,378,16,6,,54600,6520220.0
240,BTS,Butter,415,78,1,7,73437,6509524.0
241,承桓,总会有人 (男版),171,10,9,,51233,6486992.0
242,(G)I,DLE,371,26,1,5,54004,6468003.0
243,Janice Yan,也可以,930,99,10283,,6456928,
244,李浩瑋 Howard Lee,真心話,392,38,28876,,6433530,
245,Jolin Tsai,怪美的,495,48,1,24,63248,6427380.0
246,Camila Cabello,Havana,611,191,1,21,27003,6401450.0
247,R,chord,832,19,22987,,6391519,
248,Justin Bieber,Intentions,391,77,1,3,38076,6387991.0
249,黄霄雲,星辰大海,593,36,17190,,6386127,
250,ROSÉ,On The Ground,435,39,1,7,67792,6382745.0
251,Nicky Lee,夏天,418,53,22599,,6377430,
252,(G)I,DLE,173,34,5,,58846,6351656.0
253,Cyndi Wang,大眠,781,15,14279,,6266182,
254,婁峻碩,COLORFUL,456,27,19520,,6257912,
255,Ronghao Li,"不將就 (電影""何以笙簫默""片尾曲)",1239,23,12632,,6234893,
256,Hikaru Utada,First Love,234,55,1,23,112011,6228494.0
257,Lauv,i'm so tired...,559,59,2,1,29266,6208609.0
258,高爾宣 OSN,Drowning,411,49,21426,,6195277,
259,Yoga Lin,天真有邪,912,79,11006,,6162272,
260,Eason Chan,我們,794,7,7,,16318,6158340.0
261,Doja Cat,Kiss Me More,398,3,9,,31767,6150951.0
262,Maroon 5,Beautiful Mistakes,576,12,25289,,6139309,
263,Vicky Chen,沒有關係,400,28,25156,,6087967,
264,YOASOBI,怪物,725,75,14314,,6081670,
265,LE SSERAFIM,Smart,165,17,7,,54630,6081494.0
266,曾瑋中,必巡 (三立戲劇《含笑食堂》片尾曲/《嘉慶君遊臺灣》片頭曲),200,6,8,,47023,6056458.0
267,Glass Animals,Heat Waves,506,23,23693,,6053344,
268,Yoyo Sham,追光者 (電視劇《夏至未至》插曲),743,95,10900,,6008035,
269,IVE,Baddie,226,26,5,,50346,5964893.0
270,SEVENTEEN,Super,344,16,2,1,56933,5960621.0
271,斑恩Ben,喜歡你,206,32,5,,54180,5943334.0
272,周星星,毒药,340,38,25087,,5941854,
273,Ariana Grande,Stuck with U,568,20,2,1,38964,5902430.0
274,SZA,Kill Bill,383,29,26009,,5863353,
275,Shawn Mendes,If I Can't Have You,490,57,2,14,33561,5862167.0
276,Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]",316,11,31522,,5855548,
277,TAEYEON,To. X,246,2,8,,46119,5827352.0
278,Jay Chou,還在流浪,250,42,1,12,116090,5803068.0
279,李千那,不曾回來過,800,35,3,3,23715,5801739.0
280,G.E.M.,我的秘密 (MySecret),820,101,11489,,5798961,
281,Eric Chou,摯友,255,11,4,,46086,5758390.0
282,Justin Bieber,Hold On,473,46,5,,39876,5721923.0
283,Sophie Chen,On My Way《地獄里長》主題曲,386,20,30191,,5715803,
284,1K,就忘了吧,284,15,24634,,5708567,
285,高爾宣 OSN,Be Alright,507,27,19743,,5691489,
286,Gummy B,石橋,340,14,34379,,5654283,
287,IVE,Kitsch,246,29,2,3,58043,5649035.0
288,1K,就忘了吧,349,46,22303,,5628102,
289,WeiBird,因為是你,388,24,5,,35081,5614249.0
290,Eric Chou,離開你以後,364,19,8,,26476,5599673.0
291,BABYMONSTER,BATTER UP,249,18,35850,,5597202,
292,ZICO,SPOT!,98,49,2,18,115668,5569193.0
293,Night Keepers,我睡不著,518,52,17679,,5537476,
294,Waa Wei,彼個所在,474,29,21664,,5524171,
295,Ed Sheeran,Thinking out Loud,1262,182,1,38,18667,5519456.0
296,Abin Fang,遺憾,459,64,17349,,5507729,
297,Ronghao Li,對等關係,364,7,8,,36351,5489086.0
298,Rainie Yang,青春住了誰,927,27,11807,,5465880,
299,Selena Gomez,Wolves,572,126,1,67,34949,5460496.0
300,Eric Chou,如果能幸福,375,11,27659,,5441313,
301,Zedd,Stay,596,126,3,58,29100,5435187.0
302,Olivia Rodrigo,drivers license,426,60,5,,33527,5429933.0
303,理想混蛋 雞丁,習慣不習慣,391,30,23566,,5401831,
304,Lil Nas X,INDUSTRY BABY,338,1,10,,23478,5401104.0
305,Della,猜不透,1025,40,8595,,5396000,
306,(G)I,DLE,186,33,3,2,59824,5388272.0
307,Taylor Swift,Fortnight,105,37,2,8,115238,5383345.0
308,Mayday,因為你 所以我,351,44,4,,37618,5349264.0
309,TRASH,重感情的廢物,610,39,13477,,5329060,
310,Jung Kook,Standing Next to You,258,24,4,,53756,5306800.0
311,No Party For Cao Dong,床,238,34,2,6,95928,5279468.0
312,aespa,Supernova,81,52,1,3,105014,5271460.0
313,Wu Bai,Last Dance,584,17,23345,,5264439,
314,James Arthur,Say You Won't Let Go,805,123,3,3,20244,5261014.0
315,Mayday,突然好想你,1143,53,13623,,5208808,
316,Charlie Puth,Attention,514,102,3,2,25357,5207014.0
317,sodagreen,你被寫在我的歌裡,387,69,20229,,5151073,
318,LE SSERAFIM,FEARLESS,363,10,6,,28091,5141537.0
319,JJ Lin,她說,1473,42,7976,,5087166,
320,Alien Huang,地球上最浪漫的一首歌,363,31,1,8,85602,5048290.0
321,J.Sheon,別問很可怕,733,15,15959,,5046331,
322,Stefanie Sun,我懷念的,890,57,20943,,5025158,
323,Maroon 5,Girls Like You,465,109,1,45,33670,5007502.0
324,Doja Cat,Paint The Town Red,216,20,7,,43004,4999857.0
325,The Chainsmokers,Call You Mine,427,63,3,4,32060,4996354.0
326,安溥,最好的時光,218,20,1,1,68399,4984573.0
327,imase,NIGHT DANCER,370,53,19304,,4984461,
328,King Gnu,SPECIALZ,224,20,7,,39419,4978733.0
329,JJ Lin,手心的薔薇,985,18,17971,,4945435,
330,瘦子E.SO,WAIT,322,8,9,,27742,4935956.0
331,Abin Fang,壞人,458,52,15449,,4930744,
332,A,Mei Chang,1044,39,10717,,4930205,
333,ZQS,这是你期盼的长大吗,191,27,36420,,4917088,
334,Bruno Mars,Leave The Door Open,287,29,4,,40040,4909668.0
335,Benson Boone,Beautiful Things,181,17,38652,,4896744,
336,Joey Yung,就让这大雨全都落下,262,23,28984,,4884236,
337,Taylor Swift,willow,461,12,4,,37914,4877591.0
338,(G)I,DLE,187,31,1,7,69443,4874239.0
339,大泫,静悄悄,371,75,18555,,4821912,
340,张妙格,我期待的不是雪（Điều Anh Mong Đợi Không Phải Là Tuyết）,185,7,9,,52564,4812572.0
341,The Chainsmokers,Takeaway,375,43,4,,30179,4800340.0
342,Sam Smith,How Do You Sleep?,324,64,3,5,32187,4788666.0
343,NewJeans,How Sweet,70,52,1,26,115880,4779982.0
344,Ariana Grande,positions,235,34,4,,42171,4738134.0
345,Lauv,All 4 Nothing (I'm So In Love),425,29,24108,,4721180,
346,Luis Fonsi,Despacito,357,130,1,30,32757,4710064.0
347,Tatsuya Kitani,青のすみか,242,1,10,,33288,4681445.0
348,Jay Chou,Mojito,324,40,1,5,45664,4657023.0
349,Ariana Grande,7 rings,340,76,1,37,35819,4635353.0
350,郑润泽,瞬,283,57,20825,,4629761,
351,Maroon 5,Sugar,858,200,1,40,13806,4625973.0
352,Zedd,The Middle,531,115,1,5,27226,4625595.0
353,Clean Bandit,Symphony,506,81,4,,26458,4618683.0
354,24kGoldn,Mood,377,22,23862,,4614830,
355,The Chainsmokers,Don't Let Me Down,633,123,5,,16397,4602816.0
356,Harry Styles,Watermelon Sugar,346,23,21305,,4581156,
357,Halsey,Without Me,381,113,3,6,26842,4557145.0
358,IVE,ELEVEN,403,12,28109,,4532293,
359,Ren Ran,走不出的回忆,344,84,19163,,4528512,
360,Ariana Grande,we can't be friends (wait for your love),147,3,9,,50686,4525345.0
361,G.E.M.,透明,346,4,9,,26473,4490395.0
362,Sabrina Carpenter,Espresso,109,2,10,,52643,4485622.0
363,GAYLE,abcdefu,245,14,27822,,4454292,
364,Waa Wei,Have A Nice Day,347,13,7,,28596,4451927.0
365,LISA,MONEY,325,12,27241,,4445622,
366,HWASA,Maria,247,21,7,,30655,4411225.0
367,Ren Ran,疑心病,567,87,14135,,4397816,
368,Dua Lipa,New Rules,481,107,3,1,23043,4386058.0
369,J.Tajor,Like I Do,221,26,32002,,4384762,
370,Taylor Swift,ME!,433,18,5,,26765,4378991.0
371,The Chainsmokers,Paris,488,109,2,29,27497,4375493.0
372,Lady Gaga,Rain On Me,253,50,1,12,54794,4360446.0
373,ZAYN,I Don’t Wanna Live Forever (Fifty Shades Darker),509,112,2,18,27022,4346838.0
374,Crowd Lu,愛情怎麼了嗎,453,16,16874,,4342327,
375,Jay Chou,等你下課,616,28,12531,,4319486,
376,R,chord,486,22,13452,,4301829,
377,阿涵,感谢你曾来过,453,51,14066,,4298340,
378,苏星婕,清空,416,79,18742,,4293778,
379,Li Yugang,刚好遇见你,576,2,8,,19863,4266175.0
380,TWICE,Talk that Talk,220,35,2,14,63512,4254826.0
381,Bestards,我反芻著你留下的寂寞,309,17,25852,,4205473,
382,Ren Ran,空空如也,387,97,17554,,4202105,
383,于冬然,听说你,289,37,28550,,4195835,
384,BLACKPINK,As If It's Your Last,567,12,30481,,4194429,
385,Mike Posner,I Took A Pill In Ibiza,549,151,1,9,17191,4178316.0
386,Charlie Puth,Light Switch,300,24,22838,,4150379,
387,Lauv,"fuck, i'm lonely",380,35,5,,27303,4121785.0
388,YOASOBI,勇者,211,2,10,,36943,4112454.0
389,Yoga Lin,Fairy tale,658,52,9634,,4111131,
390,LiSA,紅蓮華,315,11,29456,,4092791,
391,Mixer,都是浪漫害的,272,39,26683,,4034998,
392,Jay Chou,楓,385,92,17881,,4032322,
393,Justin Bieber,Holy,260,11,5,,38596,4029510.0
394,Olivia Rodrigo,good 4 u,347,11,23316,,4015990,
395,Jay Chou,Greatest Works of Art,182,37,1,5,104377,4012542.0
396,Pei,Yu Hung,814,33,12583,,3971741,
397,JENNIE,SOLO,363,12,6,,20452,3964901.0
398,Ava Max,Sweet but Psycho,497,17,17316,,3963785,
399,aespa,Spicy,242,14,36547,,3959637,
400,EggPlantEgg,日常,550,22,22369,,3956602,
401,Alan Walker,All Falls Down,556,51,4,,23741,3924455.0
402,阿涵,过客,540,77,10318,,3918156,
403,Mike Perry,The Ocean,608,69,5,,17209,3908359.0
404,莫宰羊,未接來電,447,57,11828,,3908029,
405,NewJeans,New Jeans,220,15,5,,64545,3902671.0
406,Jonas Brothers,Sucker,329,45,1,7,28864,3885249.0
407,Sam Smith,Unholy,270,29,26005,,3864363,
408,Tanya Chua,讓浪漫作主,296,11,24631,,3858046,
409,告五人,我想要佔據你,203,27,30577,,3851133,
410,YOASOBI,祝福,347,43,19088,,3844908,
411,Martin Garrix,There for You,376,90,2,2,29153,3817376.0
412,R3HAB,Stars Align,287,23,6,,41923,3813452.0
413,Jolin Tsai,腦公,416,3,4,,24640,3802473.0
414,Martin Garrix,Scared to Be Lonely,484,77,3,2,25335,3798527.0
415,Tyson Yoshi,你不會一輩子的愛上我,251,45,24038,,3796487,
416,Marz23,我不是饒舌歌手,470,55,14761,,3777156,
417,BLACKPINK,Tally,235,5,5,,48430,3770779.0
418,LaLa Hsu,言不由衷,539,11,2,1,24663,3757123.0
419,芒果醬 Mango Jump,我喜歡你,220,39,26887,,3735145,
420,Major Lazer,Lean On,637,178,1,2,13431,3728202.0
421,BLACKPINK,Typa Girl,297,4,4,,41457,3710062.0
422,Maroon 5,What Lovers Do,341,127,1,2,28605,3708694.0
423,Ariana Grande,"thank u, next",261,88,1,6,33501,3706961.0
424,Sia,Cheap Thrills,485,133,4,,16194,3691691.0
425,Eric Chou,不喜歡沒有你的地方,203,12,40006,,3677543,
426,DJ Snake,Let Me Love You,412,151,2,17,22192,3672831.0
427,Jimin,Like Crazy,203,1,7,,44336,3644734.0
428,BTS,Life Goes On,241,22,2,7,61694,3631490.0
429,Adele,Hello,484,130,1,68,36926,3621274.0
430,Eve Ai,寂寞無害(八大韓劇”拜託了媽媽”片頭曲),635,16,3,1,15082,3606132.0
431,Marshmello,Happier,357,55,1,6,24378,3590837.0
432,JEON SOMI,Fast Forward,196,1,10,,31667,3582307.0
433,Calvin Harris,This Is What You Came For,430,131,1,42,22591,3575014.0
434,告五人,愛在夏天,502,103,9294,,3561975,
435,R,chord,601,7,5,,14659,3558539.0
436,Shadya Lan,倫敦的愛情,444,85,10564,,3556840,
437,Marz23,最美的風景,218,30,6,,36944,3553876.0
438,Fire EX.,長途夜車,650,42,13244,,3553507,
439,Sam Smith,Dancing With A Stranger,302,73,1,2,30945,3542264.0
