,Artist,Title,Days,T10,Pk,x,PkStreams,Total
8005,Nicki Minaj,Chun,5,163,3462,,16043,
8006,Charlie Puth,LA Girls,4,82,4808,,16022,
8007,JJ Lin,小酒窩,6,84,3627,,16019,
8008,Lorde,Team,13,77,1361,,16003,
8009,落日飛車 Sunset Rollercoaster,Little Balcony,2,130,9650,,15999,
8010,Alicia Keys,In Common,8,151,2549,,15997,
8011,Misi Ke,我不懂,7,103,2809,,15989,
8012,Mayday,知足,5,91,4709,,15983,
8013,9m88,Intro,2,64,10536,,15962,
8014,Red Velvet,Rainbow Halo,2,143,8010,,15951,
8015,TWICE,SAY YOU LOVE ME,4,111,4913,,15943,
8016,Karen Mok,一切安好,9,39,3614,,15934,
8017,SEVENTEEN,Domino,2,117,9237,,15931,
8018,JJ Lin,你 有沒有過,7,127,2602,,15930,
8019,Snakehips,Cruel,7,108,3202,,15916,
8020,EXO,For Life,5,67,4932,,15897,
8021,MinChen,不是不愛,5,60,4979,,15897,
8022,Karen Mok,陰天,5,119,3908,,15894,
8023,Aggie Hsieh,Daddy's Girl,7,92,2629,,15894,
8024,Kygo,Carry Me,7,131,2934,,15864,
