Track_id,Track_name,Track_ms,Track_number
7IoNsm6u2Z0Cbb1mai3jHq,星戰,280405,10
3LF3iXrfa0Jw5VG3ULguvG,寂寞男孩 (feat. TYSON YOSHI),243200,1
4CHHKYWqRKmB8mTPUO5Kbe,Intro,93882,1
7dpNI8JMnAQ8bx4BkJegCK,丹爺,181500,2
2vFdP0bi8SEpX3139IubpR,Let Go放縱,253860,3
6rmP8RoL2gZIv1ZCGPQKX9,小野貓,193593,4
1xgPjHJYxTmYyDgGy2WgFb,父母叫你唔好,198455,5
2R3hJpiwOS4R53QEUbfog6,做一世兄弟,128000,6
5uOZALvoCnh0SyIoDDC4jg,大鱷,223542,7
5rZ9gSiWoe59cNSErp8eJL,Rollie,171000,8
0uP4O5pagwFGo4U6SoETaH,兼識女友Ptgf,189103,9
3bAhWsD2cveyt2eRwFtb9t,Outro,77333,10
5FF1Bm9NsrfvGxIqFGyBGk,What I'm Feeling,202062,1
2byJqu4cw657Y7G6nFogkG,cut my hair,175665,1
4kfSXPK13aXkLzuz02hCSC,greedy,129686,2
51hyZpbJlIgZIaX3TtMxmu,run for the hills,143940,3
4mFcwFOlSCxp6hjemRXwpd,hurt my feelings,122416,4
6jDT7DB6k0psPX0nWNDI1K,grave,193159,5
2zScQCfO2BKtR0Yk8dtELN,stay done,171190,6
4E63weMCaNZuGPEFMnuEi8,exes,159400,7
0tFRxPQHvAUMTbWYRJUo8R,we're not alike,180392,8
01BDK4Skxzh5mqnTbQzWGy,calgary,140685,9
53H3ajzHjI5M9ZeewvRO3h,messier,237191,10
44c9MsAwxoAdAYpCVRBAG1,think later,133562,11
2wIcebwzceIwgonsDICx6P,guilty conscience,152049,12
5BLxf0dPOTKMFFgUEp8M6T,want that too,190059,13
7Moee27EB8Qc4pNTzB870r,plastic palm trees,172780,14
0hh6usshPzFf6j0lGkhMs3,?,16292,1
3RhyHYnYxuGnP8njFlNxHq,don't come back,152786,2
6uNv4npQ8FZLsH7naE9GK4,i'm so gone,146080,3
4ewmHD3aRBmLyTsbGreNLw,what would you do?,166946,4
4bt7eqP7mfWduRBKEpCAzM,chaotic,175533,5
1bXm6XU3SYSqQGLTRhUSfm,hate myself,173306,6
3yoIliXhnorEdfTZ93W2YL,what's your problem?,167373,7
7l9IqDtVWJurTvkQHq1BGh,she's all i wanna be,207120,8
4UbItCyP9q7MvuVogbDCgC,boy x,226786,9
5XLgE4yoU9MyR5vkjNxpdF,you're so cool,170933,10
03zuGqxMwUFFmCwusq0WKE,feel like shit,203480,11
40yVW4Ywyxz8xkNcuLbP1N,go away,213613,12
2RwpoqhsYOZSGsF69KqjwP,i still say goodnight,188533,13
2YyWiAibyL5Eo18x4kkE4b,exes - Syn Cole Remix,182189,1
4NXziaKXuKQAuuJ1Sjk5yA,exes - Regard Remix,182508,1
1gMv5QSRDJ6SwcQGbTtAtB,run for the hills (Spotify OUTSIDE Version) - Live from Malibu,164063,1
7LoyqdrF51XVflrSKFHH1a,greedy acoustic,142363,1
3qsiiKAipvnDao6NuAzlTQ,greedy - Ian Asher Remix,144330,2
4MhxagNeAqtTdy9ht8tQo5,greedy - cassö remix,156818,3
1RhdVvfQwmQp0bg7NF58k0,greedy - Alok remix,152307,4
6y6KaCid6AI0P5h8ozb0eZ,greedy sped up,119871,5
2OoIhKYzzN5s6pzGZKdiM1,greedy slowed down,148166,6
3rUGC1vUpkDG9CZFHMur1t,greedy,131872,1
6BePGk3eCan4FqaW2X8Qy3,10:35,172252,1
6qmvAJSUfVGMubvI2awW7p,uh oh,169721,1
7CNnr17XNq6rvU2LM3H7MD,what would you do? - Galantis Remix,161462,1
3iJVCCW5equhyyZcxrMABz,she's all i wanna be - Acoustic,198705,1
6W4SftknKhWj0iFoHN7aYU,that way - with Jeremy Zucker,174299,1
31sSFHIe4NaxltVFOEIcTa,working,210219,1
7IoyTDxOTWYkHx1f3oWhtt,You - Acoustic,214058,1
1SyK3kEq2TN5MV0eGGjvjx,working (feat. Khalid) - TELYKast Summer Remix,165276,1
6Asu7oyQxcmONn4HypXV7n,that way - Jonasu Remix,167213,1
2cc8Sw1OnCuA5bV8nqWqpE,You,233386,1
6CYT0souHUHKTO4EMzTUFg,bad ones,183133,1
2E8IlL26PwtZq7CqAHBBUw,rubberband,147253,2
4X3Br7EVc8oy44zUwU1z5w,slower,187880,3
2ng0NW0HhJK0KTNZzZajRv,r u ok,187386,4
4l0RmWt52FxpVxMNni6i63,you broke me first,170226,5
2wkIdVB8HsWyMur3Q4shlZ,wish i loved you in the 90s,176853,6
4JtQe8OMIC2HufEbxj7gAK,slower - NOTD Remix,183275,1
58j9yvUXGuQiCEHBDdwRDB,slower - Moore Kismet Remix,189837,1
3gHMshV2IfQAM3YWwKXOlQ,Darkest Hour - from the Amazon Original Series PANIC,161251,1
4SBahN5KfX1RLG9XLNIlJA,you broke me first - Spotify Singles,176652,1
2GSLoT7abyYGchSSDCpWEI,Heather - Spotify Singles,190652,2
4f9IfFvBFm7Gsf1IVEudyf,lie to me,177440,1
02iW5boMzeBDVRI0dRE1Yw,don't be sad,143672,1
7nIPkUEV3HYE7yzXHvGOVB,vicious,182929,1
0kTIH2zbc1jvIHoCOCoNnr,you broke me first - Luca Schreiner Remix,192338,1
3Ni9jLlq3xPoOKv1HYlQrH,you broke me first - Gryffin Remix,215648,1
7tMEUrMaMzE0YptCGfsXzt,Boys Ain't Shit (feat. Tate McRae & Audrey Mika),186409,1
0gIxF0RR0miqWLs2fPQGBu,stupid,173826,1
3xF2FcXiJjWQUqUYvrp4NT,all my friends are fake,186213,2
7l97ElWmIdVHWUaOeeU5ZC,that way,175026,3
4AuYFl8wn6502LiHDTr0C9,tear myself apart,165240,4
28QGhVCx80IcpEb1Gswdk0,happy face,201413,5
3OXjT67T0GiQk2IcVbsmgE,Kids Are Alright,176988,1
1RI4G0KZES2ZQgKCF3mgOQ,Slip,171899,1
7zmGroa83F8IqoGdN36Anr,Drown,216854,1
1vdjJ55uw3WOuu7ZSyABFP,Teenage Mind,155205,1
5jaeLgE8u1dJjgfLST8BPM,Can't Get It Out,182785,1
